player,first,last,name,position1
PD-0800,Dwayne,Harris,Dwayne Harris,WR
TC-2050,N'Keal,Harry,N'Keal Harry,WR
TK-0150,Rashard,Higgins,Rashard Higgins,WR
WT-0075,Tyreek,Hill,Tyreek Hill,WR
TH-1750,T.Y.,Hilton,T.Y. Hilton,WR
SR-0750,Khadarel,Hodge,Khadarel Hodge,WR
MG-1150,Chris,Hogan,Chris Hogan,WR
SM-2625,Krishawn,Hogan,Krishawn Hogan,WR
LW-1450,Alexander,Hollins,Alexander Hollins,WR
SD-0537,Mack,Hollins,Mack Hollins,WR
MB-2950,Cody,Hollister,Cody Hollister,WR
RW-3850,Johnny,Holton,Johnny Holton,WR
NW-0325,DeAndre,Hopkins,DeAndre Hopkins,WR
SM-3250,Lil'Jordan,Humphrey,Lil'Jordan Humphrey,WR
LC-0875,Adam,Humphries,Adam Humphries,WR
MH-3050,Allen,Hurns,Allen Hurns,WR
RB-2350,Ishmael,Hyman,Ishmael Hyman,WR
PR-0300,Dontrelle,Inman,Dontrelle Inman,WR
MA-1050,Andy,Isabella,Andy Isabella,WR
PM-0025,DeSean,Jackson,DeSean Jackson,WR
TS-2425,Richie,James,Richie James,WR
ML-1500,Alshon,Jeffery,Alshon Jeffery,WR
NC-0175,Darius,Jennings,Darius Jennings,WR
PB-0125,Diontae,Johnson,Diontae Johnson,WR
SM-2653,KeeSean,Johnson,KeeSean Johnson,WR
SM-2825,Marcus,Johnson,Marcus Johnson,WR
TG-1950,Olabisi,Johnson,Olabisi Johnson,WR
RS-3525,Julio,Jones,Julio Jones,WR
TH-1850,Marvin,Jones,Marvin Jones,WR
TL-1025,T.J.,Jones,T.J. Jones,WR
VG-0300,Tevin,Jones,Tevin Jones,WR
ZJ-0100,Zay,Jones,Zay Jones,WR
MP-0050,Christian,Kirk,Christian Kirk,WR
RO-0550,Jake,Kumerow,Jake Kumerow,WR
ME-0600,Cooper,Kupp,Cooper Kupp,WR
MC-2900,Chris,Lacy,Chris Lacy,WR
RW-4050,Jarvis,Landry,Jarvis Landry,WR
MB-5175,Cody,Latimer,Cody Latimer,WR
MB-3862,Allen,Lazard,Allen Lazard,WR
SS-1537,Marqise,Lee,Marqise Lee,WR
WS-0925,Tyler,Lockett,Tyler Lockett,WR
RF-0500,Jordan,Matthews,Jordan Matthews,WR
MT-0875,Codey,McElroy,Codey McElroy,WR
RM-2050,Isaiah,McKenzie,Isaiah McKenzie,WR
RB-4670,J.D.,McKissic,J.D. McKissic,WR
VD-0100,Terry,McLaurin,Terry McLaurin,WR
MA-0487,D.K.,Metcalf,D.K. Metcalf,WR
RG-0012,Jakobi,Meyers,Jakobi Meyers,WR
RD-2300,Jaydon,Mickens,Jaydon Mickens,WR
MI-0100,Anthony,Miller,Anthony Miller,WR
TM-3150,Scott,Miller,Scott Miller,WR
TH-1550,Steven,Mitchell,Steven Mitchell,WR
PC-0625,Donte,Moncrief,Donte Moncrief,WR
MD-0187,Chris,Moore,Chris Moore,WR
MT-1800,D.J.,Moore,D.J. Moore,WR
NS-0303,David,Moore,David Moore,WR
RJ-2250,Jason,Moore,Jason Moore,WR
TC-2375,Stanley,Morgan Jr.,Stanley Morgan Jr.,WR
RF-0450,JoJo,Natson,JoJo Natson,WR
RJ-0450,J.J.,Nelson,J.J. Nelson,WR
RP-0550,Gunner,Olszewski,Gunner Olszewski,WR
PR-0125,DeVante,Parker,DeVante Parker,WR
ZZ-0100,Zach,Pascal,Zach Pascal,WR
VV-0200,Tim,Patrick,Tim Patrick,WR
MG-0325,Cordarrelle,Patterson,Cordarrelle Patterson,WR
MJ-1450,Andre,Patton,Andre Patton,WR
MB-0450,Breshad,Perriman,Breshad Perriman,WR
NB-0450,Dante,Pettis,Dante Pettis,WR
MB-3537,Byron,Pringle,Byron Pringle,WR
WF-0300,Trey,Quinn,Trey Quinn,WR
NA-0050,Damion,Ratley,Damion Ratley,WR
SK-0600,Kalif,Raymond,Kalif Raymond,WR
RD-0150,Hunter,Renfrow,Hunter Renfrow,WR
RG-1885,Josh,Reynolds,Josh Reynolds,WR
TB-2775,Paul,Richardson,Paul Richardson,WR
ML-0050,Calvin,Ridley,Calvin Ridley,WR
TC-0325,Riley,Ridley,Riley Ridley,WR
MM-0912,Andre,Roberts,Andre Roberts,WR
TS-0150,Seth,Roberts,Seth Roberts,WR
MT-2350,Allen,Robinson,Allen Robinson,WR
OJ-0050,Demarcus,Robinson,Demarcus Robinson,WR
MS-4100,Chester,Rogers,Chester Rogers,WR
RG-0025,John,Ross,John Ross,WR
MW-2825,Curtis,Samuel,Curtis Samuel,WR
OB-0075,Deebo,Samuel,Deebo Samuel,WR
PL-0275,Emmanuel,Sanders,Emmanuel Sanders,WR
TM-2275,Mohamed,Sanu,Mohamed Sanu,WR
TB-2075,Spencer,Schnell,Spencer Schnell,WR
MP-2350,Da'Mari,Scott,Da'Mari Scott,WR
RR-0650,Jaleel,Scott,Jaleel Scott,WR
TW-2875,Tajae,Sharpe,Tajae Sharpe,WR
TQ-0100,Russell,Shepard,Russell Shepard,WR
TE-0350,Sterling,Shepard,Sterling Shepard,WR
NM-0687,Darrius,Shepherd,Darrius Shepherd,WR
WH-0762,Trent,Sherfield,Trent Sherfield,WR
MM-4700,Cam,Sims,Cam Sims,WR
TK-0850,Steven,Sims Jr.,Steven Sims Jr.,WR
TJ-2400,Matthew,Slater,Matthew Slater,WR
NF-0250,Darius,Slayton,Darius Slayton,WR
PR-0150,Devin,Smith,Devin Smith,WR
RT-1550,Jeff,Smith,Jeff Smith,WR
WS-0650,Tre'Quan,Smith,Tre'Quan Smith,WR
ZG-0012,Vyncint,Smith,Vyncint Smith,WR
RI-0500,Juju,Smith-Schuster,Juju Smith-Schuster,WR
ZP-0050,Willie,Snead,Willie Snead,WR
PB-0725,Diontae,Spencer,Diontae Spencer,WR
SD-0534,Kenny,Stills,Kenny Stills,WR
MT-0887,Courtland,Sutton,Courtland Sutton,WR
TP-1950,Ryan,Switzer,Ryan Switzer,WR
MV-0012,Auden,Tate,Auden Tate,WR
QE-0100,Golden,Tate,Golden Tate,WR
VM-0250,Taywan,Taylor,Taywan Taylor,WR
LT-0275,Adam,Thielen,Adam Thielen,WR
