player,first,last,name,position1,game1,game2,game3,game4,game5,game6,game7,game8,game9,game10,game11,game12,game13,game14,game15,game16
Ezekiel Elliott,Ezekiel,Elliott,Ezekiel Elliott,RB,11.2,12.700000000000001,16.0,21.7,31.099999999999998,17.4,14.8,21.7,40.9,12.7,24.0,16.5,10.7,24.799999999999997,23.2,0
Elijhaa Penny,Elijhaa,Penny,Elijhaa Penny,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Josh Ferguson,Josh,Ferguson,Josh Ferguson,RB,2.4,3.5999999999999996,3.1,3.0999999999999996,1.3,0.0,0,0.0,0.9,0,0.0,1.1,0.0,0.1,0.0,0
Jordan Howard,Jordan,Howard,Jordan Howard,RB,0,3.1,9.2,13.2,22.3,10.0,2.2,26.200000000000003,8.0,9.9,12.7,29.7,11.0,17.3,12.8,13.5
Jalen Richard,Jalen,Richard,Jalen Richard,RB,17.5,2.7,4.1,2.0,9.7,1.2,0.1,3.6999999999999997,7.2,11.2,2.3,5.3,2.9,4.9,13.9,-0.2
Jonathan Williams,Jonathan,Williams,Jonathan Williams,RB,0,0,0.2,0,0,0.10000000000000009,0,7.2,0.0,2.6,1.2,0.0,0,1.0,0,-0.8999999999999999
Kenyan Drake,Kenyan,Drake,Kenyan Drake,RB,0,7.8,4.800000000000001,1.5,2.0,0.0,0.0,6.6,0.9,0.2,0.9,0.5,1.1,1.6,13.6,1.0
Peyton Barber,Peyton,Barber,Peyton Barber,RB,0,0,0,0,0.6,16.4,0.1,5.5,3.8,2.2,2.0,0.6,0,0.0,0,1.9
Paul Perkins,Paul,Perkins,Paul Perkins,RB,0,0,0.0,8.0,2.2,2.6,1.6,4.7,3.1,3.5,4.3,3.8,4.5,5.6,7.7,10.2
Tra Carson,Tra,Carson,Tra Carson,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Tyler Ervin,Tyler,Ervin,Tyler Ervin,RB,0.8,0.0,-2.0,0.0,0.0,0.4,0.9,0.0,0.0,-2.0,0,0.0,0,0,0.0,0.0
Troymaine Pope,Troymaine,Pope,Troymaine Pope,RB,0,0,0,0,0,0,0.1,0,0,0,0.3,0.0,3.3,1.2,0,0
Wendell Smallwood,Wendell,Smallwood,Wendell Smallwood,RB,0.1,1.6,13.9,0,8.0,1.3,-2.5,2.5,7.0,7.9,4.7,1.9,0.3,0,0,0
Alex Armah,Alex,Armah,Alex Armah,RB,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0
Austin Ekeler,Austin,Ekeler,Austin Ekeler,RB,1.8,0.0,0.6,11.8,2.8,0.9,10.4,2.1,21.9,11.8,7.0,4.0,4.9,-0.10000000000000009,0,0
Aaron Jones,Aaron,Jones,Aaron Jones,RB,0,0,0,10.9,19.4,4.199999999999999,21.8,1.0999999999999999,1.2,0,0,8.0,-0.2,5.3,1.3,0
Alvin Kamara,Alvin,Kamara,Alvin Kamara,RB,3.8,5.3999999999999995,10.2,15.6,8.7,10.7,13.600000000000001,25.200000000000003,19.8,19.6,32.8,24.6,2.7,14.9,9.0,24.799999999999997
Brian Hill,Brian,Hill,Brian Hill,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.2,5.1,0.0
Chris Carson,Chris,Carson,Chris Carson,RB,4.9,10.0,11.200000000000001,6.6,0,0,0,0,0,0,0,0.0,0,0,0,0
Corey Clement,Corey,Clement,Corey Clement,RB,0,0,8.2,3.0,3.9000000000000004,0.2,7.5,5.4,24.6,13.0,3.9000000000000004,3.7,5.199999999999999,1.8,2.0,0.0
Christian McCaffrey,Christian,McCaffrey,Christian McCaffrey,RB,6.5,4.4,11.7,4.9,9.8,12.399999999999999,4.6,5.2,15.399999999999999,17.0,9.7,10.899999999999999,5.3,19.6,5.8,5.4
Dalvin Cook,Dalvin,Cook,Dalvin Cook,RB,13.7,6.4,22.9,11.4,0,0,0,0,0,0,0,0.0,0,0,0,0
Dare Ogunbowale,Dare,Ogunbowale,Dare Ogunbowale,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
James Conner,James,Conner,James Conner,RB,1.1,0.9,0,2.6,0.9,1.4,1.9,0.1,1.2,1.2,0,1.2,0.6,1.3,0,0
Joe Mixon,Joe,Mixon,Joe Mixon,RB,2.4,4.1,10.1,4.8,11.1,6.8,8.9,10.6,10.0,4.9,22.5,4.2,0,0,3.2,7.699999999999999
Jamaal Williams,Jamaal,Williams,Jamaal Williams,RB,0.9,1.1,0.6,1.3,0.1,0,0.0,9.2,7.4,9.5,27.5,18.3,23.799999999999997,3.0,5.8,11.299999999999999
Kareem Hunt,Kareem,Hunt,Kareem Hunt,RB,42.599999999999994,24.900000000000002,26.3,12.1,11.6,11.0,11.7,6.8,6.1,7.7,2.6,6.3,19.8,32.6,16.6,9.5
Leonard Fournette,Leonard,Fournette,Leonard Fournette,RB,18.4,12.1,14.0,20.5,32.400000000000006,21.8,0,0,4.6,11.799999999999999,4.2,13.899999999999999,17.900000000000002,0,13.0,13.600000000000001
Matt Breida,Matt,Breida,Matt Breida,RB,1.1,3.8,2.9,2.0,7.1000000000000005,3.6,0.5,11.6,1.9000000000000001,11.8,2.4,4.9,2.7,1.6,14.200000000000001,10.4
Marlon Mack,Marlon,Mack,Marlon Mack,RB,10.5,0.8,0,0,15.299999999999999,1.8,6.6,12.299999999999999,2.9,2.5999999999999996,3.1,5.3999999999999995,4.4,1.4,5.4,9.8
Patrick Ricard,Patrick,Ricard,Patrick Ricard,RB,0,0,0,0,0,0,0,0.1,0,0,0,6.3,6.6,0,0,0.2
Ricky Ortiz,Ricky,Ortiz,Ricky Ortiz,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Samaje Perine,Samaje,Perine,Samaje Perine,RB,0,6.7,3.5,2.7,10.700000000000001,0,0,0.9,6.0,18.599999999999998,13.0,6.9,5.2,6.6,5.4,0.3
Tarik Cohen,Tarik,Cohen,Tarik Cohen,RB,17.3,4.8,10.2,4.8,0.7000000000000001,7.4399999999999995,7.0,6.8,1.1,11.9,-0.30000000000000004,10.4,8.5,1.7000000000000002,2.1,2.7
Trey Edmunds,Trey,Edmunds,Trey Edmunds,RB,0.0,0.0,0,0,0.0,0,0,0,12.8,0,0,0.0,0,0,0,0
T.J. Logan,T.J.,Logan,T.J. Logan,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Wayne Gallman,Wayne,Gallman,Wayne Gallman,RB,0,0,0,11.0,8.2,3.2,2.9,2.0999999999999996,2.2,2.1999999999999997,4.3,1.9000000000000001,9.9,7.9,6.2,8.9
Bo Scarbrough,Bo,Scarbrough,Bo Scarbrough,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Boston Scott,Boston,Scott,Boston Scott,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0
Chase Edmonds,Chase,Edmonds,Chase Edmonds,RB,4.8,2.0,1.0,0.1,-0.1,0.4,2.1,2.1,0.7,1.7,0.0,18.6,1.4,4.4,2.1,1.7999999999999998
Dalyn Dawkins,Dalyn,Dawkins,Dalyn Dawkins,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Derrius Guice,Derrius,Guice,Derrius Guice,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Dontrell Hilliard,Dontrell,Hilliard,Dontrell Hilliard,RB,0,0,0,0,0,0.0,0.0,2.4,0.0,-1.4,0.0,4.0,2.0,0.0,1.5,0
De'Lance Turner,De'Lance,Turner,De'Lance Turner,RB,0,0,0,1.4,0.7,0,0,0,0,0,0,0.0,0,0,0,0
Darrel Williams,Darrel,Williams,Darrel Williams,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.8,9.2,0,3.1
Gus Edwards,Gus,Edwards,Gus Edwards,RB,0,0,0,0,0,4.2,0.0,1.9,1.0,19.5,11.8,8.2,6.7,16.4,10.5,7.6
Gregory Howell,Gregory,Howell,Gregory Howell,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
