player,first,last,name,position1,game1,game2,game3,game4,game5,game6,game7,game8,game9,game10,game11,game12,game13,game14,game15,game16
N'Keal Harry,N'Keal,Harry,N'Keal Harry,WR,0,0,0,0,0,0,0,0,0,1.8,7.0,0.0,1.2,9.7,3.9000000000000004,3.8
Nsimba Webster,Nsimba,Webster,Nsimba Webster,WR,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Olabisi Johnson,Olabisi,Johnson,Olabisi Johnson,WR,0,0,0,3.5,4.3,1.6,10.0,2.7,6.4,2.5,3.5,0.1,6.9,2.5,0.6,3.4
Olamide Zaccheaus,Olamide,Zaccheaus,Olamide Zaccheaus,WR,0,0,0,0,0,0,0,0,0.0,0,0,0.0,17.3,0.0,0.0,2.2
Parris Campbell,Parris,Campbell,Parris Campbell,WR,0.7999999999999999,7.2,2.4,0.5,0,0,0.0,8.0,0,0,0,0.0,1.2,0.0,0.0,0.0
Preston Williams,Preston,Williams,Preston Williams,WR,8.4,6.3,6.8,4.6,3.1,6.199999999999999,4.2,19.2,0,0,0,0.0,0.0,0.0,0.0,0.0
Riley Ridley,Riley,Ridley,Riley Ridley,WR,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0,5.4
Scott Miller,Scott,Miller,Scott Miller,WR,0,0,0,0.0,1.8,3.9,0.0,0.0,3.3,7.1,0.6000000000000001,0.0,0.0,10.9,0.0,0.0
Stanley Morgan Jr.,Stanley,Morgan Jr.,Stanley Morgan Jr.,WR,0,0,0,0,0.6,0,0,0.3,0.9,0,0,0.0,0.0,0.0,0.0,0.0
Spencer Schnell,Spencer,Schnell,Spencer Schnell,WR,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Steven Sims Jr.,Steven,Sims Jr.,Steven Sims Jr.,WR,0,1.9000000000000001,2.4,0.0,14.6,0.1,0.5,0.0,1.2,0.6,6.0,2.9,4.0,10.5,19.3,13.5
Travis Fulgham,Travis,Fulgham,Travis Fulgham,WR,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Terry McLaurin,Terry,McLaurin,Terry McLaurin,WR,20.5,12.2,13.0,0,5.1,22.0,1.1,3.9,3.9,6.9,7.2,0.8,11.7,21.0,8.6,0.0
Ventell Bryant,Ventell,Bryant,Ventell Bryant,WR,0,0,0,0,0,0,0,0,0,0,0.0,7.5,0.0,0.0,0.0,0.0
